Nama,Universitas,Negara,Scopus,Scholar,Web of Science Researcher ,Orcid,Role,Link foto
Adi Sucipto,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,https://scholar.google.com/citations?user=WekxCYgAAAAJ&hl=id&oi=ao,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WekxCYgAAAAJ&citpid=18
Adi Sucipto,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,https://scholar.google.com/citations?user=WekxCYgAAAAJ&hl=id&oi=ao,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WekxCYgAAAAJ&citpid=18
Ahmad Khanif Zyen,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=COU5YVoAAAAJ&citpid=3
Ahmad Khanif Zyen,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=COU5YVoAAAAJ&citpid=3
Ahmad Turmudi Zy,Universitas Pelita Bangsa,Indonesia,,https://scholar.google.com/citations?user=9vs_d-0AAAAJ&hl=id&oi=ao,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9vs_d-0AAAAJ&citpid=1
Ahmad Turmudi Zy,Universitas Pelita Bangsa,Indonesia,,https://scholar.google.com/citations?user=9vs_d-0AAAAJ&hl=id&oi=ao,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9vs_d-0AAAAJ&citpid=1
Apri Junaidi,Institut Teknologi Telkom Purwokerto,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57220350100,https://scholar.google.com/citations?user=SMhndc8AAAAJ&hl=id&oi=ao,,https://orcid.org/0000-0001-9465-0810,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SMhndc8AAAAJ&citpid=3
Apri Junaidi,Institut Teknologi Telkom Purwokerto,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57220350100,https://scholar.google.com/citations?user=SMhndc8AAAAJ&hl=id&oi=ao,,https://orcid.org/0000-0001-9465-0810,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SMhndc8AAAAJ&citpid=3
Aris Haris Rismayana,Politeknik TEDC Bandung,Indonesia,,https://scholar.google.com/citations?user=4F3o0pkAAAAJ&hl=id&oi=ao,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4F3o0pkAAAAJ&citpid=1
Aris Haris Rismayana,Politeknik TEDC Bandung,Indonesia,,https://scholar.google.com/citations?user=4F3o0pkAAAAJ&hl=id&oi=ao,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4F3o0pkAAAAJ&citpid=1
Associate Professor. Sumarni Adi,Universitas Amikom Yogyakarta,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=qv_awmAAAAAJ&citpid=8
Cahaya Jatmoko,Universitas Dian Nuswantoro,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57208400026,"https://scholar.google.com/citations?user=R-eojPoAAAAJ&hl=id&oi=ao
",,https://orcid.org/0000-0001-5691-0482,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=OgELeeIAAAAJ&citpid=1
Cahaya Jatmoko,Universitas Dian Nuswantoro,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57208400026,"https://scholar.google.com/citations?user=R-eojPoAAAAJ&hl=id&oi=ao
",,https://orcid.org/0000-0001-5691-0482,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=OgELeeIAAAAJ&citpid=1
Candra Irawan,Universitas Dian Nuswantoro,Indonesia,,,,,Editorial,
Castaka Agus Sugianto,Politeknik TEDC Bandung,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=R-eojPoAAAAJ&citpid=4
Castaka Agus Sugianto,Politeknik TEDC Bandung,Indonesia,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=R-eojPoAAAAJ&citpid=4
Chaerul Umam,Universitas Dian Nuswantoro,Indonesia,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NqbjtbIAAAAJ&citpid=2
Christy Atika Sari,Universitas Dian Nuswantoro,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57193848115,https://scholar.google.com/citations?user=TKVTFhIAAAAJ&hl=en&oi=ao,https://www.webofscience.com/wos/author/record/2939847,https://orcid.org/0000-0002-7296-5210,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=TKVTFhIAAAAJ&citpid=21
Daurat Sinaga,Universitas Dian Nuswantoro,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=y2lN6WkAAAAJ&citpid=1
Daurat Sinaga,Universitas Dian Nuswantoro,Indonesia,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=y2lN6WkAAAAJ&citpid=1
Dini Rohmayani,Politeknik TEDC Bandung,Indonesia,,https://scholar.google.com/citations?user=4o0gjTsAAAAJ&hl=id&oi=ao,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4o0gjTsAAAAJ&citpid=4
Dini Rohmayani,Politeknik TEDC Bandung,Indonesia,,https://scholar.google.com/citations?user=4o0gjTsAAAAJ&hl=id&oi=ao,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4o0gjTsAAAAJ&citpid=4
Dr. Folasade Olubusola Isinkaye,Ekiti State University Ado Ekiti,Nigeria,,,,,Reviewer,
